time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-01-17 18:20:54.260 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:21:54.261 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:22:54.261 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:23:54.262 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:24:54.262 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:25:54.263 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:26:54.263 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:27:54.264 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:28:54.264 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:29:54.264 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:30:54.265 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:31:54.265 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:32:54.266 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:33:54.266 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:34:54.267 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:35:54.267 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:36:54.268 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:37:54.268 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:38:54.269 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:39:54.269 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:40:54.270 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:41:54.270 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:42:54.270 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:43:54.271 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:44:54.271 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:45:54.272 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:46:54.272 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:47:54.273 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:48:54.273 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:49:54.274 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:50:54.274 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:51:54.275 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,207064392,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:52:54.275 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:53:54.275 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:54:54.276 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:55:54.276 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:56:54.277 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:57:54.277 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:58:54.278 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,214738432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 18:59:54.278 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,216782784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 19:00:54.279 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,216782784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 19:01:54.279 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,216782784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 19:02:54.280 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,216782784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-17 19:03:54.280 UTC, ,3875,12698459,510080,9266056,282800, ,395, , , , , , , , , , , ,395,301, , , ,173,39,539, , , , , , , , , , , , , , , , ,128852216387,866,2959,128852213805, , , , , ,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1515554085647, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,24, , , , , , , , , , , , , , , , , , ,216782784,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
